127.0.0.1 - - [20/Sep/2018:23:39:58 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:31 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:31 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:31 +0800] "GET /EyuShop/product/info?pid=4 HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:45 +0800] "GET /EyuShopPortal/personal HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:45 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:45 +0800] "GET /EyuShop/user/attr HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:45 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:45 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:00 +0800] "GET /EyuShopPortal/13071679487/cart HTTP/1.1" 200 8567
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:01 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:01 +0800] "GET /EyuShop/cart/list HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:01 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:01 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:02 +0800] "GET /EyuShopPortal/13071679487/msg HTTP/1.1" 200 8115
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:02 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:02 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:02 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:04 +0800] "GET /EyuShopPortal/13071679487/cart HTTP/1.1" 200 8567
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:04 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:04 +0800] "GET /EyuShop/cart/list HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:04 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:04 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:06 +0800] "GET /EyuShopPortal/13071679487/shipping HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:06 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:06 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:06 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:07 +0800] "GET /EyuShopPortal/13071679487/rec HTTP/1.1" 200 8287
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:07 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:07 +0800] "GET /EyuShop/record/list?pn=1 HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:07 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:07 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:07 +0800] "GET /EyuShop/record/list?pn=1 HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:21 +0800] "GET /EyuShopPortal/product?pid=4 HTTP/1.1" 200 9168
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:21 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:21 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:21 +0800] "GET /EyuShop/manage/category/root_list HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:21 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:21 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:21 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:21 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:21 +0800] "GET /EyuShop/product/info?pid=4 HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShopPortal/index HTTP/1.1" 200 15123
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/product/list?cid=13&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/product/list?cid=8&pn=1 HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/product/list?cid=10&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/product/list?cid=11&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/manage/category/root_list HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:24 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:44:28 +0800] "GET /EyuShopPortal/admin HTTP/1.1" 200 4809
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShopPortal/ HTTP/1.1" 200 15123
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/product/list?cid=13&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/product/list?cid=8&pn=1 HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/manage/category/root_list HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/product/list?cid=11&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/product/list?cid=10&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:08 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:10 +0800] "GET /EyuShopPortal/personal HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:10 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:10 +0800] "GET /EyuShop/user/attr HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:10 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:10 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:12 +0800] "GET /EyuShopPortal/jsp/layout/personal_upload_headicon.jsp HTTP/1.1" 200 2729
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:13 +0800] "GET /EyuShopPortal/jsp/layout/personal_info_edit.jsp HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:24 +0800] "GET /EyuShopPortal/13071679487/cart HTTP/1.1" 200 8567
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:24 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:24 +0800] "GET /EyuShop/cart/list HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:24 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:24 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:25 +0800] "GET /EyuShopPortal/13071679487/order HTTP/1.1" 200 8831
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:25 +0800] "GET /EyuShopPortal/js/layout/personal_order.js HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:25 +0800] "GET /EyuShopPortal//js/layout/personal_order.js HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:25 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:25 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:25 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:25 +0800] "GET /EyuShop/order/list?pageNum=1&size=6 HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:25 +0800] "GET /EyuShop/order/list?pageNum=1&size=6 HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:32 +0800] "GET /EyuShopPortal/13071679487/col HTTP/1.1" 200 6553
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:32 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:32 +0800] "GET /EyuShop/cart/list HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:32 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:32 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:33 +0800] "GET /EyuShopPortal/13071679487/shipping HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:33 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:33 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:33 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:35 +0800] "GET /EyuShopPortal/13071679487/rec HTTP/1.1" 200 8287
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:35 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:35 +0800] "GET /EyuShop/record/list?pn=1 HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:35 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:35 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:35 +0800] "GET /EyuShop/record/list?pn=1 HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:38 +0800] "GET /EyuShopPortal/13071679487/cart HTTP/1.1" 200 8567
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:38 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:38 +0800] "GET /EyuShop/cart/list HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:38 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:38 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:39 +0800] "GET /EyuShopPortal/13071679487/order HTTP/1.1" 200 8831
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:39 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:39 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:45:39 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
